Age,Sex,r.HD,p.HD
84,Male,0.096784,0.092247941
85,Female,0.078276,0.075290828
85,Male,0.115393,0.108984094
86,Female,0.089749,0.085839389
86,Male,0.125423,0.117876315
87,Female,0.103192,0.098046218
87,Male,0.143376,0.133571769
88,Female,0.119602,0.112726499
88,Male,0.158237,0.146352556
89,Female,0.140437,0.131021591
89,Male,0.180164,0.164866762
90,Female,0.163402,0.150750279
90,Male,0.203413,0.184058812
91,Female,0.180757,0.165361849
91,Male,0.224826,0.201344827
92,Female,0.209935,0.189363064
92,Male,0.26044,0.229287602
93,Female,0.218156,0.195999992
93,Male,0.275954,0.241152163
94,Female,0.25722,0.226801909
94,Male,0.298072,0.257752104
95,Female,0.289189,0.251129345
95,Male,0.341517,0.289308614
96,Female,0.308029,0.265105994
96,Male,0.37582,0.313274067
97,Female,0.360902,0.302952694
97,Male,0.349034,0.294630853
98,Female,0.366327,0.306723937
98,Male,0.442385,0.357497776
99,Female,0.422892,0.344850615
99,Male,0.470769,0.375478174
100,Female,0.457811,0.367332961
100,Male,0.478128,0.380057161
101,Female,0.475172,0.378221899
101,Male,0.497142,0.391733396
102,Female,0.498357,0.392471991
102,Male,0.52497,0.408426889
103,Female,0.511805,0.400587338
103,Male,0.545484,0.420438792
104,Female,0.5327,0.41298212
104,Male,0.593318,0.447508925
105,Female,0.546807,0.421205045
105,Male,0.680344,0.493557254
106,Female,0.557266,0.427227114
106,Male,1.01075,0.636054082
107,Female,0.59123,0.446354119
107,Male,5.814632,0.997016422
108,Female,0.683698,0.495253017
108,Male,NA,NA
109,Female,1.338102,0.737656876
109,Male,NA,NA
110,Female,NA,NA
110,Male,NA,NA
